participant_id,age,hours_studied,attendance_rate,prior_score,program_type,completed_program,outcome_proxy
P001,25,5,66,58,cohort,0,0
P002,32,8,77,71,mentored,0,0
P003,39,11,88,84,self_guided,1,1
P004,46,14,55,46,cohort,0,0
P005,53,17,66,59,mentored,1,1
P006,60,20,77,72,self_guided,1,1
P007,24,4,88,85,cohort,0,0
P008,31,7,55,47,mentored,0,0
P009,38,10,66,60,self_guided,0,0
P010,45,13,77,73,cohort,1,1
P011,52,16,88,86,mentored,1,1
P012,59,19,55,48,self_guided,1,1
P013,23,3,66,61,cohort,0,0
P014,30,6,77,74,mentored,0,0
P015,37,9,88,87,self_guided,0,0
P016,44,12,55,49,cohort,0,0
P017,51,15,66,62,mentored,1,1
P018,58,18,77,75,self_guided,1,1
P019,22,2,88,88,cohort,0,0
P020,29,5,55,50,mentored,0,0
P021,36,8,66,63,self_guided,0,0
P022,43,11,77,76,cohort,0,0
P023,50,14,88,89,mentored,1,1
P024,57,17,55,51,self_guided,0,0
P025,21,20,66,64,cohort,1,1
P026,28,4,77,77,mentored,0,0
P027,35,7,88,90,self_guided,0,0
P028,42,10,55,52,cohort,0,0
P029,49,13,66,65,mentored,1,1
P030,56,16,77,78,self_guided,1,1
P031,20,19,88,91,cohort,1,1
P032,27,3,55,53,mentored,0,0
P033,34,6,66,66,self_guided,0,0
P034,41,9,77,79,cohort,1,1
P035,48,12,88,92,mentored,1,1
P036,55,15,55,54,self_guided,0,0
P037,19,18,66,67,cohort,1,1
P038,26,2,77,80,mentored,0,0
P039,33,5,88,93,self_guided,0,0
P040,40,8,55,55,cohort,0,0
P041,47,11,66,68,mentored,1,1
P042,54,14,77,81,self_guided,1,1
P043,18,17,88,94,cohort,1,1
P044,25,20,55,56,mentored,1,1
P045,32,4,66,69,self_guided,0,0
P046,39,7,77,82,cohort,0,0
P047,46,10,88,95,mentored,1,1
P048,53,13,55,57,self_guided,0,0
P049,60,16,66,70,cohort,1,1
P050,24,19,77,83,mentored,1,1
P051,31,3,88,45,self_guided,0,0
P052,38,6,55,58,cohort,0,0
P053,45,9,66,71,mentored,0,0
P054,52,12,77,84,self_guided,1,1
P055,59,15,88,46,cohort,1,1
P056,23,18,55,59,mentored,1,1
P057,30,2,66,72,self_guided,0,0
P058,37,5,77,85,cohort,0,0
P059,44,8,88,47,mentored,0,0
P060,51,11,55,60,self_guided,0,0
P061,58,14,66,73,cohort,1,1
P062,22,17,77,86,mentored,1,1
P063,29,20,88,48,self_guided,1,1
P064,36,4,55,61,cohort,0,0
P065,43,7,66,74,mentored,0,0
P066,50,10,77,87,self_guided,0,0
P067,57,13,88,49,cohort,1,1
P068,21,16,55,62,mentored,1,1
P069,28,19,66,75,self_guided,1,1
P070,35,3,77,88,cohort,0,0
P071,42,6,88,50,mentored,0,0
P072,49,9,55,63,self_guided,0,0
P073,56,12,66,76,cohort,0,0
P074,20,15,77,89,mentored,1,1
P075,27,18,88,51,self_guided,1,1
P076,34,2,55,64,cohort,0,0
P077,41,5,66,77,mentored,0,0
P078,48,8,77,90,self_guided,0,0
P079,55,11,88,52,cohort,0,0
P080,19,14,55,65,mentored,1,1
P081,26,17,66,78,self_guided,1,1
P082,33,20,77,91,cohort,1,1
P083,40,4,88,53,mentored,0,0
P084,47,7,55,66,self_guided,0,0
P085,54,10,66,79,cohort,0,0
P086,18,13,77,92,mentored,1,1
P087,25,16,88,54,self_guided,1,1
P088,32,19,55,67,cohort,1,1
P089,39,3,66,80,mentored,0,0
P090,46,6,77,93,self_guided,0,0
P091,53,9,88,55,cohort,0,0
P092,60,12,55,68,mentored,0,0
P093,24,15,66,81,self_guided,1,1
P094,31,18,77,94,cohort,1,1
P095,38,2,88,56,mentored,0,0
P096,45,5,55,69,self_guided,0,0
P097,52,8,66,82,cohort,0,0
P098,59,11,77,95,mentored,1,1
P099,23,14,88,57,self_guided,1,1
P100,30,17,55,70,cohort,1,1
P101,37,20,66,83,mentored,1,1
P102,44,4,77,45,self_guided,0,0
P103,51,7,88,58,cohort,0,0
P104,58,10,55,71,mentored,0,0
P105,22,13,66,84,self_guided,0,0
P106,29,16,77,46,cohort,1,1
P107,36,19,88,59,mentored,1,1
P108,43,3,55,72,self_guided,0,0
P109,50,6,66,85,cohort,0,0
P110,57,9,77,47,mentored,0,0
P111,21,12,88,60,self_guided,1,1
P112,28,15,55,73,cohort,0,0
P113,35,18,66,86,mentored,1,1
P114,42,2,77,48,self_guided,0,0
P115,49,5,88,61,cohort,0,0
P116,56,8,55,74,mentored,0,0
P117,20,11,66,87,self_guided,0,0
P118,27,14,77,49,cohort,1,1
P119,34,17,88,62,mentored,1,1
P120,41,20,55,75,self_guided,1,1
